Class,True Positives,False Positives,Precision,Recall,F1 Score,AP
0.0,786,41,0.9509127145290726,0.966789667896679,0.9587854673418135,[    0.99011     0.98956     0.98917     0.98671     0.98388       0.983     0.97335     0.96827     0.96665     0.95966]
1.0,21,34,0.38379495350400045,0.3606704715196433,0.37187356778254993,[    0.32763     0.31514     0.29797     0.26175     0.24356     0.22268    0.076641    0.017478   0.0083013   0.0025675]
2.0,107,28,0.7916723576802245,1.0,0.8837244759474279,[    0.96271     0.96271     0.96271     0.96271     0.96115     0.93905     0.92908     0.92908     0.87903      0.7413]
3.0,54,47,0.535305785531469,0.46276053874253387,0.4963966575762971,[    0.50692      0.4684     0.37738     0.26912       0.178    0.085171    0.043951    0.018465   0.0071107   0.0012867]
