               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.032303,            0.017608,           0.0070113,             0.92307,             0.83407,              0.8716,             0.74325,           0.0080226,           0.0048358,            0.004682,             0.00406,             0.00406,             0.00406
                  32,            0.032088,            0.017702,           0.0068956,             0.90542,             0.82461,             0.87728,             0.74065,           0.0081451,           0.0043989,           0.0052807,            0.003862,            0.003862,            0.003862
                  33,            0.031636,            0.017412,           0.0067518,             0.86606,             0.86569,             0.88581,             0.75066,           0.0075104,           0.0046803,           0.0040533,            0.003664,            0.003664,            0.003664
                  34,            0.031168,            0.017214,           0.0065257,              0.8872,             0.84443,             0.88221,             0.75356,           0.0077085,           0.0048877,            0.006047,            0.003466,            0.003466,            0.003466
                  35,            0.031205,            0.017302,           0.0066443,             0.88914,             0.88147,             0.89058,             0.76703,           0.0074565,           0.0043634,           0.0042511,            0.003268,            0.003268,            0.003268
                  36,             0.03097,            0.017411,           0.0064019,              0.8918,             0.85233,             0.89194,             0.76469,           0.0070902,           0.0045303,           0.0034287,             0.00307,             0.00307,             0.00307
                  37,            0.030725,            0.017251,           0.0064454,             0.90379,             0.87632,               0.903,             0.77285,           0.0071431,            0.004556,           0.0031922,            0.002872,            0.002872,            0.002872
                  38,             0.02983,            0.016814,           0.0059632,             0.90253,              0.8646,             0.89182,             0.76723,           0.0071202,           0.0049976,           0.0032794,            0.002674,            0.002674,            0.002674
                  39,            0.029645,            0.016901,           0.0057751,             0.90789,             0.87916,             0.89323,             0.76888,           0.0070441,           0.0042625,            0.004314,            0.002476,            0.002476,            0.002476
                  40,            0.028789,            0.016548,           0.0056947,             0.91207,             0.88533,              0.9039,             0.77298,           0.0067643,            0.004612,           0.0035183,            0.002278,            0.002278,            0.002278
                  41,            0.029263,            0.016471,           0.0056247,             0.91284,             0.85851,             0.89819,             0.77066,           0.0069563,           0.0044809,           0.0041465,             0.00208,             0.00208,             0.00208
                  42,            0.028774,            0.016652,           0.0057037,             0.91658,             0.84612,             0.89912,             0.77261,           0.0069553,           0.0043488,            0.003851,            0.001882,            0.001882,            0.001882
                  43,            0.028478,             0.01644,           0.0053066,             0.91293,              0.8697,             0.90307,             0.77782,           0.0069763,           0.0046043,           0.0037088,            0.001684,            0.001684,            0.001684
                  44,             0.02806,            0.016194,           0.0051406,             0.89944,             0.87497,             0.89539,             0.77707,           0.0069158,           0.0045173,           0.0037899,            0.001486,            0.001486,            0.001486
                  45,            0.027829,            0.016059,           0.0048801,             0.90701,             0.86118,             0.89222,             0.77834,           0.0069607,           0.0044135,           0.0051567,            0.001288,            0.001288,            0.001288
                  46,            0.026977,            0.016154,           0.0047808,             0.91162,             0.88988,             0.89978,              0.7826,           0.0072052,           0.0043471,           0.0039464,             0.00109,             0.00109,             0.00109
                  47,              0.0274,            0.016064,           0.0048326,             0.92253,             0.88383,             0.90079,              0.7872,           0.0069742,           0.0049779,           0.0043057,            0.000892,            0.000892,            0.000892
                  48,            0.027069,            0.015921,           0.0047764,             0.92421,             0.86289,             0.89884,              0.7872,           0.0069847,           0.0046917,           0.0052218,            0.000694,            0.000694,            0.000694
                  49,            0.027187,            0.016292,           0.0047154,             0.89952,             0.88817,             0.89715,             0.78711,           0.0069186,           0.0046288,           0.0048458,            0.000496,            0.000496,            0.000496
