Class,True Positives,False Positives,Precision,Recall,F1 Score,AP
0.0,806,31,0.9624180992225886,0.991389913899139,0.9766892039702265,[    0.99147      0.9903     0.98961     0.98961     0.98961     0.98961     0.98717     0.98201     0.97364     0.95815]
1.0,40,9,0.8178291522272237,0.7089306490383982,0.7594962235845495,[    0.73055     0.72915     0.70901     0.68582     0.66865     0.62773     0.60369     0.43106     0.23341    0.099134]
2.0,105,2,0.9793644989027521,0.9813084112149533,0.9803354914113576,[    0.99092     0.99092     0.99092     0.99092     0.99092     0.99092     0.98396     0.97355     0.93487     0.82179]
3.0,100,8,0.9285160264460266,0.8547008547008547,0.8900806736379167,[    0.89039      0.8809     0.87126     0.86135     0.82376     0.70808      0.6282     0.45107     0.27766     0.10161]
